Edge TPU Compiler version 16.0.384591198
Input: QAT_INT8_Brain_MRI_Segmentation.tflite
Output: QAT_INT8_Brain_MRI_Segmentation_edgetpu.tflite

Operator                       Count      Status

MAX_POOL_2D                    3          Operation is working on an unsupported data type
MAX_POOL_2D                    1          More than one subgraph is not supported
ADD                            33         Operation is working on an unsupported data type
ADD                            1          More than one subgraph is not supported
RELU                           8          Operation is working on an unsupported data type
LOGISTIC                       1          Operation is working on an unsupported data type
CONCATENATION                  1          More than one subgraph is not supported
CONCATENATION                  3          Operation is working on an unsupported data type
RESIZE_NEAREST_NEIGHBOR        3          Operation is working on an unsupported data type
RESIZE_NEAREST_NEIGHBOR        1          More than one subgraph is not supported
CONV_2D                        1          Mapped to Edge TPU
CONV_2D                        22         Operation is working on an unsupported data type
CONV_2D                        4          More than one subgraph is not supported
QUANTIZE                       48         Operation is otherwise supported, but not mapped due to some unspecified limitation
MUL                            26         Operation is working on an unsupported data type
DEQUANTIZE                     49         Operation is working on an unsupported data type
